g1,g2,g3,g4,g5,g6,r1,r2,r3,r4,r5,r6
soare,radar,cigar,,,,nnyyn,nnngg,ggggg,,,
soare,deter,abrim,rebut,,,nnnyy,ngyny,nyynn,ggggg,,
soare,thilk,sissy,,,,gnnnn,nnynn,ggggg,,,
soare,clint,dumpy,humph,,,nnnnn,nnnnn,ngggn,ggggg,,
soare,glitz,weave,awake,,,nngng,nnnnn,yngng,ggggg,,
soare,mushy,abaft,blush,,,ynnnn,nyyyn,nynnn,ggggg,,
soare,liman,focal,,,,ngynn,ynngn,ggggg,,,
soare,glitz,weave,evade,,,nngng,nnnnn,nygyg,ggggg,,
soare,clint,lanky,naval,,,nnynn,nynyn,ygynn,ggggg,,
soare,spree,serve,,,,gnnyg,gngyg,ggggg,,,
soare,letch,heath,,,,nngny,ngyng,ggggg,,,
soare,dhuti,dwarf,,,,nnggn,gnnnn,ggggg,,,
soare,meynt,model,,,,ngnny,gynnn,ggggg,,,
soare,radar,karma,,,,nnyyn,ygnyn,ggggg,,,
soare,thilk,stink,,,,gnnnn,yngng,ggggg,,,
soare,diact,grade,,,,nngyg,yngnn,ggggg,,,
soare,denet,quiet,,,,nnnny,nnngg,ggggg,,,
soare,denet,bench,,,,nnnny,nggnn,ggggg,,,
soare,glitz,abate,,,,nngng,nnngn,ggggg,,,
soare,denet,feign,,,,nnnny,ngynn,ggggg,,,
soare,baron,vampy,major,,,nyyyn,ngygn,ngynn,ggggg,,
soare,letch,heath,death,,,nngny,ngyng,ngggg,ggggg,,
soare,richt,fresh,,,,ynnyy,ynnyn,ggggg,,,
soare,crust,,,,,ynnyn,ggggg,,,,
soare,cloot,stool,,,,gynnn,nyggy,ggggg,,,
soare,culty,colon,,,,ngnnn,gngnn,ggggg,,,
soare,leuch,abase,,,,yngng,nynnn,ggggg,,,
soare,humic,marry,,,,nnygn,nnynn,ggggg,,,
soare,ached,react,,,,nngyy,yynyn,ggggg,,,
soare,clint,baffy,batty,,,nnynn,nnnny,ggnng,ggggg,,
soare,pudic,pride,,,,nnnyg,gnyyn,ggggg,,,
soare,agloo,floss,,,,yynnn,nnyyn,ggggg,,,
soare,denet,belch,helix,,,nnnny,ngnnn,nggny,ggggg,,
soare,baron,croak,,,,nyyyn,nyyyn,ggggg,,,
soare,thilk,adman,staff,,,gngnn,ynnnn,ynnnn,ggggg,,
soare,talar,pigmy,paper,,,nnyyy,ngnng,gnnnn,ggggg,,
soare,denet,unfed,,,,nnnny,ynygn,ggggg,,,
soare,denet,whelp,,,,nnnny,nynnn,ggggg,,,
soare,clint,trawl,,,,nngyn,nynny,ggggg,,,
soare,clint,outdo,,,,nynnn,nnnny,ggggg,,,
soare,bundt,adobe,,,,nyyng,ynnyn,ggggg,,,
soare,clint,abysm,crazy,,,nngyn,gnnnn,ynynn,ggggg,,
soare,sower,,,,,ggnyy,ggggg,,,,
soare,talar,becke,repay,,,nnyyy,nnngy,ngnnn,ggggg,,
soare,clint,aswim,digit,,,nnnnn,nnyng,nnngn,ggggg,,
soare,diact,crate,,,,nngyg,nngyy,ggggg,,,
soare,clint,cluck,,,,nnnnn,ggnnn,ggggg,,,
soare,pling,aceta,spike,,,gnnng,yngnn,nnynn,ggggg,,
soare,clint,mimic,,,,nnnnn,ynynn,ggggg,,,
soare,culty,bumph,pound,,,ngnnn,nynnn,nynyn,ggggg,,
soare,clint,maxim,,,,nnynn,nnynn,ggggg,,,
soare,denet,linen,,,,nnnny,nnggn,ggggg,,,
soare,denet,unmet,,,,nnnny,nnygg,ggggg,,,
soare,uneth,flesh,,,,ynnny,nngng,ggggg,,,
soare,culty,goody,booby,,,ngnnn,nnnng,nggng,ggggg,,
soare,cyton,forth,,,,ngnyn,nnyyn,ggggg,,,
soare,crust,first,,,,ynnyn,nyngg,ggggg,,,
soare,thilk,adman,stand,,,gngnn,ynnnn,yynny,ggggg,,
soare,denet,belch,belly,,,nnnny,ngnnn,gggnn,ggggg,,
soare,acidy,ivory,,,,nyngn,nnyng,ggggg,,,
soare,spelt,seedy,,,,gnnny,gngnn,ggggg,,,
soare,trick,print,,,,nnnyn,yggnn,ggggg,,,
soare,lathy,yearn,,,,nnggy,nynny,ggggg,,,
soare,clint,aband,drain,,,nngyn,nnyyn,nngyy,ggggg,,
soare,pudic,tribe,bribe,,,nnnyg,nnnyn,ngggg,ggggg,,
soare,cloot,ethne,stout,,,gynnn,nngng,ngnnn,ggggg,,
soare,pleat,panel,,,,nnyny,gyyyn,ggggg,,,
soare,bachs,crass,,,,yngyn,nyyng,ggggg,,,
