g1,g2,g3,g4,g5,g6,r1,r2,r3,r4,r5,r6
soare,radar,cigar,,,,nnyyn,nnngg,ggggg,,,
soare,deter,rebut,,,,nnnyy,ngyny,ggggg,,,
soare,stink,sissy,,,,gnnnn,gnynn,ggggg,,,
soare,lunch,humph,,,,nnnnn,ngnng,ggggg,,,
soare,plate,knave,awake,,,nngng,nngng,yngng,ggggg,,
soare,mushy,blush,,,,ynnnn,nyyyn,ggggg,,,
soare,nomad,local,focal,,,ngynn,ngngn,ngggg,ggggg,,
soare,plate,knave,evade,,,nngng,nngng,nngyg,ggggg,,
soare,natal,naval,,,,nnynn,ggngg,ggggg,,,
soare,spree,serve,,,,gnnyg,gngyg,ggggg,,,
soare,death,heath,,,,nngny,ngggg,ggggg,,,
soare,award,dwarf,,,,nnggn,ngggy,ggggg,,,
soare,motel,model,,,,ngnny,ggngg,ggggg,,,
soare,radar,karma,,,,nnyyn,ygnyn,ggggg,,,
soare,stink,,,,,gnnnn,ggggg,,,,
soare,crate,grade,,,,nngyg,nggng,ggggg,,,
soare,betel,quiet,,,,nnnny,nnygn,ggggg,,,
soare,betel,being,bench,,,nnnny,ggnnn,ggnyn,ggggg,,
soare,plate,abate,,,,nngng,nnggg,ggggg,,,
soare,betel,feign,,,,nnnny,ngnnn,ggggg,,,
soare,baron,valor,major,,,nyyyn,ngygn,ngngg,ggggg,,
soare,death,,,,,nngny,ggggg,,,,
soare,reset,cress,fresh,,,ynnyy,yyynn,ngggn,ggggg,,
soare,crust,,,,,ynnyn,ggggg,,,,
soare,stoop,stool,,,,gynnn,ggggn,ggggg,,,
soare,donut,colon,,,,ngnnn,ngynn,ggggg,,,
soare,cease,abase,,,,yngng,nnggg,ggggg,,,
soare,harry,marry,,,,nnygn,ngggg,ggggg,,,
soare,react,,,,,nngyy,ggggg,,,,
soare,natal,patch,batty,,,nnynn,nggnn,nggnn,ggggg,,
soare,tripe,pride,,,,nnnyg,nggyg,ggggg,,,
soare,gusto,floss,,,,yynnn,nnyny,ggggg,,,
soare,betel,welch,helix,,,nnnny,ngnny,nggny,ggggg,,
soare,baron,croak,,,,nyyyn,nyyyn,ggggg,,,
soare,slant,staff,,,,gngnn,gngny,ggggg,,,
soare,later,parer,paper,,,nnyyy,ngngg,ggngg,ggggg,,
soare,betel,widen,unfed,,,nnnny,nnngn,nnygy,ggggg,,
soare,betel,yield,whelp,,,nnnny,nynny,nnggn,ggggg,,
soare,drawn,trawl,,,,nngyn,ngggn,ggggg,,,
soare,blood,outdo,,,,nynnn,nnyyy,ggggg,,,
soare,anode,adobe,,,,nyyng,gngyg,ggggg,,,
soare,drawn,craft,crazy,,,nngyn,nggnn,gggnn,ggggg,,
soare,sower,,,,,ggnyy,ggggg,,,,
soare,later,bread,repay,,,nnyyy,nynyy,nyygn,ggggg,,
soare,lunch,digit,,,,nnnnn,nnnnn,ggggg,,,
soare,crate,,,,,nngyg,ggggg,,,,
soare,lunch,cluck,,,,nnnnn,yyngn,ggggg,,,
soare,spine,spike,,,,gnnng,gggng,ggggg,,,
soare,lunch,mimic,,,,nnnnn,nnnyn,ggggg,,,
soare,donut,pound,,,,ngnnn,ygyyn,ggggg,,,
soare,natal,bawdy,maxim,,,nnynn,ngnnn,ngnnn,ggggg,,
soare,betel,linen,,,,nnnny,nnngy,ggggg,,,
soare,betel,quiet,unmet,,,nnnny,nnygn,nyngg,ggggg,,
soare,guest,flesh,,,,ynnny,nnggn,ggggg,,,
soare,donut,folio,booby,,,ngnnn,ngnnn,ngnny,ggggg,,
soare,north,forth,,,,ngnyn,ngggg,ggggg,,,
soare,crust,first,,,,ynnyn,nyngg,ggggg,,,
soare,slant,stand,,,,gngnn,gnggy,ggggg,,,
soare,betel,belly,,,,nnnny,ggnny,ggggg,,,
soare,chord,ivory,,,,nyngn,nnggn,ggggg,,,
soare,spelt,seedy,,,,gnnny,gngnn,ggggg,,,
soare,trick,print,,,,nnnyn,yggnn,ggggg,,,
soare,teary,yearn,,,,nnggy,ngggy,ggggg,,,
soare,drawn,drain,,,,nngyn,gggng,ggggg,,,
soare,tripe,brine,bribe,,,nnnyg,nggng,gggng,ggggg,,
soare,stoop,stock,stout,,,gynnn,gggnn,gggnn,ggggg,,
soare,pleat,panel,,,,nnyny,gyyyn,ggggg,,,
